year,make,model,problem
2017,Ford,F-150,P0442 EVAP small leak
2017,Ford,F-150,ABS light on
2017,Ford,F-150,Wheel bearing humming noise
2017,Ford,F-150,Transmission slipping between gears
2018,Ford,F-150,Alternator failure
2018,Ford,F-150,Rough idle when cold
2018,Ford,F-150,Won't start
2018,Ford,F-150,P0420 catalytic converter efficiency
2018,Ford,F-150,Battery drains overnight
2018,Ford,F-150,Steering wheel vibration at highway speed
2018,Ford,F-150,ABS light on
2019,Ford,F-150,TPMS light on
2019,Ford,F-150,Steering wheel vibration at highway speed
2019,Ford,F-150,P0442 EVAP small leak
2019,Ford,F-150,Rough idle when cold
2019,Ford,F-150,Won't start
2019,Ford,F-150,AC not blowing cold
2019,Ford,F-150,Battery drains overnight
2010,Ford,Fusion,ABS light on
2010,Ford,Fusion,P0442 EVAP small leak
2010,Ford,Fusion,Overheating in traffic
2010,Ford,Fusion,Brake squeal when stopping
2010,Ford,Fusion,Wheel bearing humming noise
2010,Ford,Fusion,P0420 catalytic converter efficiency
2010,Ford,Fusion,Battery drains overnight
2011,Ford,Fusion,Wheel bearing humming noise
2011,Ford,Fusion,Power window won't go up
2011,Ford,Fusion,P0420 catalytic converter efficiency
2011,Ford,Fusion,Overheating in traffic
2011,Ford,Fusion,AC not blowing cold
2011,Ford,Fusion,Alternator failure
2011,Ford,Fusion,Brake squeal when stopping
2012,Ford,Fusion,Rough idle when cold
2012,Ford,Fusion,TPMS light on
2012,Ford,Fusion,Oil leak near valve cover
2012,Ford,Fusion,Alternator failure
2012,Ford,Fusion,Overheating in traffic
2012,Ford,Fusion,Battery drains overnight
2012,Ford,Fusion,P0420 catalytic converter efficiency
2013,Ford,Fusion,Rough idle when cold
2013,Ford,Fusion,Power window won't go up
2013,Ford,Fusion,Brake squeal when stopping
2013,Ford,Fusion,Battery drains overnight
2013,Ford,Fusion,Wheel bearing humming noise
2013,Ford,Fusion,TPMS light on
2013,Ford,Fusion,P0420 catalytic converter efficiency
2014,Ford,Fusion,Battery drains overnight
2014,Ford,Fusion,Overheating in traffic
2014,Ford,Fusion,Won't start
2014,Ford,Fusion,Rough idle when cold
2014,Ford,Fusion,Transmission slipping between gears
2014,Ford,Fusion,Alternator failure
2014,Ford,Fusion,TPMS light on
2015,Ford,Fusion,Overheating in traffic
2015,Ford,Fusion,P0442 EVAP small leak
2015,Ford,Fusion,Alternator failure
2015,Ford,Fusion,ABS light on
2015,Ford,Fusion,Brake squeal when stopping
2015,Ford,Fusion,Power window won't go up
2015,Ford,Fusion,Oil leak near valve cover
2016,Ford,Fusion,Oil leak near valve cover
2016,Ford,Fusion,TPMS light on
2016,Ford,Fusion,Brake squeal when stopping
2016,Ford,Fusion,Won't start
2016,Ford,Fusion,Overheating in traffic
2016,Ford,Fusion,Alternator failure
2016,Ford,Fusion,Transmission slipping between gears
2017,Ford,Fusion,P0420 catalytic converter efficiency
2017,Ford,Fusion,TPMS light on
2017,Ford,Fusion,ABS light on
2017,Ford,Fusion,P0442 EVAP small leak
2017,Ford,Fusion,Brake squeal when stopping
2017,Ford,Fusion,Alternator failure
2017,Ford,Fusion,Power window won't go up
2018,Ford,Fusion,Power window won't go up
2018,Ford,Fusion,Oil leak near valve cover
2018,Ford,Fusion,Overheating in traffic
2018,Ford,Fusion,Rough idle when cold
2018,Ford,Fusion,Transmission slipping between gears
2018,Ford,Fusion,P0420 catalytic converter efficiency
2018,Ford,Fusion,Battery drains overnight
2010,Ford,Escape,Transmission slipping between gears
2010,Ford,Escape,Brake squeal when stopping
2010,Ford,Escape,P0442 EVAP small leak
2010,Ford,Escape,Rough idle when cold
2010,Ford,Escape,Oil leak near valve cover
2010,Ford,Escape,AC not blowing cold
2010,Ford,Escape,P0420 catalytic converter efficiency
2011,Ford,Escape,Wheel bearing humming noise
2011,Ford,Escape,P0420 catalytic converter efficiency
2011,Ford,Escape,Oil leak near valve cover
2011,Ford,Escape,Steering wheel vibration at highway speed
2011,Ford,Escape,TPMS light on
2011,Ford,Escape,Power window won't go up
2011,Ford,Escape,Rough idle when cold
2012,Ford,Escape,P0442 EVAP small leak
2012,Ford,Escape,Oil leak near valve cover
2012,Ford,Escape,Battery drains overnight
2012,Ford,Escape,TPMS light on
2012,Ford,Escape,Transmission slipping between gears
2012,Ford,Escape,Wheel bearing humming noise
2012,Ford,Escape,Overheating in traffic
2013,Ford,Escape,Steering wheel vibration at highway speed
2013,Ford,Escape,AC not blowing cold
2013,Ford,Escape,Won't start
2013,Ford,Escape,P0442 EVAP small leak
2013,Ford,Escape,Transmission slipping between gears
2013,Ford,Escape,Brake squeal when stopping
2013,Ford,Escape,ABS light on
2014,Ford,Escape,Steering wheel vibration at highway speed
2014,Ford,Escape,TPMS light on
2014,Ford,Escape,Won't start
2014,Ford,Escape,P0420 catalytic converter efficiency
2014,Ford,Escape,AC not blowing cold
2014,Ford,Escape,P0442 EVAP small leak
2014,Ford,Escape,Rough idle when cold
2015,Ford,Escape,Wheel bearing humming noise
2015,Ford,Escape,TPMS light on
2015,Ford,Escape,Rough idle when cold
2015,Ford,Escape,Power window won't go up
2015,Ford,Escape,Battery drains overnight
2015,Ford,Escape,P0442 EVAP small leak
2015,Ford,Escape,Won't start
2016,Ford,Escape,Wheel bearing humming noise
2016,Ford,Escape,Overheating in traffic
2016,Ford,Escape,TPMS light on
2016,Ford,Escape,Power window won't go up
2016,Ford,Escape,Steering wheel vibration at highway speed
2016,Ford,Escape,Oil leak near valve cover
2016,Ford,Escape,Rough idle when cold
2017,Ford,Escape,Steering wheel vibration at highway speed
2017,Ford,Escape,Brake squeal when stopping
2017,Ford,Escape,Oil leak near valve cover
2017,Ford,Escape,Won't start
2017,Ford,Escape,TPMS light on
2017,Ford,Escape,ABS light on
2017,Ford,Escape,P0420 catalytic converter efficiency
2018,Ford,Escape,ABS light on
2018,Ford,Escape,P0442 EVAP small leak
2018,Ford,Escape,Power window won't go up
2018,Ford,Escape,TPMS light on
2018,Ford,Escape,Steering wheel vibration at highway speed
2018,Ford,Escape,Battery drains overnight
2018,Ford,Escape,Transmission slipping between gears
2010,Toyota,Camry,Oil leak near valve cover
2010,Toyota,Camry,Alternator failure
2010,Toyota,Camry,P0420 catalytic converter efficiency
2010,Toyota,Camry,AC not blowing cold
2010,Toyota,Camry,ABS light on
2010,Toyota,Camry,Brake squeal when stopping
2010,Toyota,Camry,Won't start
2011,Toyota,Camry,Battery drains overnight
2011,Toyota,Camry,Rough idle when cold
2011,Toyota,Camry,Transmission slipping between gears
2011,Toyota,Camry,P0442 EVAP small leak
2011,Toyota,Camry,TPMS light on
2011,Toyota,Camry,Wheel bearing humming noise
2011,Toyota,Camry,Steering wheel vibration at highway speed
2012,Toyota,Camry,TPMS light on
2012,Toyota,Camry,Battery drains overnight
2012,Toyota,Camry,Steering wheel vibration at highway speed
2012,Toyota,Camry,Rough idle when cold
2012,Toyota,Camry,Alternator failure
2012,Toyota,Camry,P0442 EVAP small leak
2012,Toyota,Camry,Transmission slipping between gears
2013,Toyota,Camry,P0420 catalytic converter efficiency
2013,Toyota,Camry,Overheating in traffic
2013,Toyota,Camry,AC not blowing cold
2013,Toyota,Camry,Battery drains overnight
2013,Toyota,Camry,Alternator failure
2013,Toyota,Camry,ABS light on
2013,Toyota,Camry,Won't start
2014,Toyota,Camry,TPMS light on
2014,Toyota,Camry,Won't start
2014,Toyota,Camry,ABS light on
2014,Toyota,Camry,Battery drains overnight
2014,Toyota,Camry,AC not blowing cold
2014,Toyota,Camry,Wheel bearing humming noise
2014,Toyota,Camry,Rough idle when cold
2015,Toyota,Camry,Overheating in traffic
2015,Toyota,Camry,Transmission slipping between gears
2015,Toyota,Camry,Power window won't go up
2015,Toyota,Camry,AC not blowing cold
2015,Toyota,Camry,Rough idle when cold
2015,Toyota,Camry,Brake squeal when stopping
2015,Toyota,Camry,TPMS light on
2016,Toyota,Camry,Wheel bearing humming noise
2016,Toyota,Camry,Overheating in traffic
2016,Toyota,Camry,Battery drains overnight
2016,Toyota,Camry,P0420 catalytic converter efficiency
2016,Toyota,Camry,Power window won't go up
2016,Toyota,Camry,Transmission slipping between gears
2016,Toyota,Camry,ABS light on
2017,Toyota,Camry,Transmission slipping between gears
2017,Toyota,Camry,P0420 catalytic converter efficiency
2017,Toyota,Camry,ABS light on
2017,Toyota,Camry,AC not blowing cold
2017,Toyota,Camry,Won't start
2017,Toyota,Camry,TPMS light on
2017,Toyota,Camry,Steering wheel vibration at highway speed
2018,Toyota,Camry,Brake squeal when stopping
2018,Toyota,Camry,Transmission slipping between gears
2018,Toyota,Camry,Wheel bearing humming noise
2018,Toyota,Camry,Overheating in traffic
2018,Toyota,Camry,Power window won't go up
2018,Toyota,Camry,TPMS light on
2018,Toyota,Camry,P0442 EVAP small leak
2019,Toyota,Camry,Brake squeal when stopping
2019,Toyota,Camry,AC not blowing cold
2019,Toyota,Camry,Battery drains overnight
2019,Toyota,Camry,Power window won't go up
2019,Toyota,Camry,Overheating in traffic
2019,Toyota,Camry,P0420 catalytic converter efficiency
2019,Toyota,Camry,Transmission slipping between gears
2010,Toyota,Corolla,Brake squeal when stopping
2010,Toyota,Corolla,Rough idle when cold
2010,Toyota,Corolla,Battery drains overnight
2010,Toyota,Corolla,P0420 catalytic converter efficiency
2010,Toyota,Corolla,Transmission slipping between gears
2010,Toyota,Corolla,Alternator failure
2010,Toyota,Corolla,Steering wheel vibration at highway speed
2011,Toyota,Corolla,Wheel bearing humming noise
2011,Toyota,Corolla,ABS light on
2011,Toyota,Corolla,Transmission slipping between gears
2011,Toyota,Corolla,Alternator failure
2011,Toyota,Corolla,Won't start
2011,Toyota,Corolla,P0442 EVAP small leak
2011,Toyota,Corolla,Overheating in traffic
2012,Toyota,Corolla,Transmission slipping between gears
2012,Toyota,Corolla,P0442 EVAP small leak
2012,Toyota,Corolla,Steering wheel vibration at highway speed
2012,Toyota,Corolla,P0420 catalytic converter efficiency
2012,Toyota,Corolla,AC not blowing cold
2012,Toyota,Corolla,Won't start
2012,Toyota,Corolla,Brake squeal when stopping
2013,Toyota,Corolla,Overheating in traffic
2013,Toyota,Corolla,Power window won't go up
2013,Toyota,Corolla,AC not blowing cold
2013,Toyota,Corolla,Alternator failure
2013,Toyota,Corolla,P0442 EVAP small leak
2013,Toyota,Corolla,Won't start
2013,Toyota,Corolla,TPMS light on
2014,Toyota,Corolla,AC not blowing cold
2014,Toyota,Corolla,Transmission slipping between gears
2014,Toyota,Corolla,Wheel bearing humming noise
2014,Toyota,Corolla,TPMS light on
2014,Toyota,Corolla,Steering wheel vibration at highway speed
2014,Toyota,Corolla,Oil leak near valve cover
2014,Toyota,Corolla,Brake squeal when stopping
2015,Toyota,Corolla,Rough idle when cold
2015,Toyota,Corolla,Alternator failure
2015,Toyota,Corolla,P0420 catalytic converter efficiency
2015,Toyota,Corolla,Transmission slipping between gears
2015,Toyota,Corolla,TPMS light on
2015,Toyota,Corolla,ABS light on
2015,Toyota,Corolla,AC not blowing cold
2016,Toyota,Corolla,Wheel bearing humming noise
2016,Toyota,Corolla,P0420 catalytic converter efficiency
2016,Toyota,Corolla,Steering wheel vibration at highway speed
2016,Toyota,Corolla,Oil leak near valve cover
2016,Toyota,Corolla,Brake squeal when stopping
2016,Toyota,Corolla,Overheating in traffic
2016,Toyota,Corolla,Rough idle when cold
2017,Toyota,Corolla,Rough idle when cold
2017,Toyota,Corolla,P0442 EVAP small leak
2017,Toyota,Corolla,TPMS light on
2017,Toyota,Corolla,Wheel bearing humming noise
2017,Toyota,Corolla,Steering wheel vibration at highway speed
2017,Toyota,Corolla,Overheating in traffic
2017,Toyota,Corolla,Brake squeal when stopping
2018,Toyota,Corolla,P0442 EVAP small leak
2018,Toyota,Corolla,Steering wheel vibration at highway speed
2018,Toyota,Corolla,P0420 catalytic converter efficiency
2018,Toyota,Corolla,Won't start
2018,Toyota,Corolla,Rough idle when cold
2018,Toyota,Corolla,Alternator failure
2018,Toyota,Corolla,Oil leak near valve cover
2019,Toyota,Corolla,Oil leak near valve cover
2019,Toyota,Corolla,P0442 EVAP small leak
2019,Toyota,Corolla,Brake squeal when stopping
2019,Toyota,Corolla,Alternator failure
2019,Toyota,Corolla,TPMS light on
2019,Toyota,Corolla,ABS light on
2019,Toyota,Corolla,AC not blowing cold
2010,Toyota,RAV4,Battery drains overnight
2010,Toyota,RAV4,ABS light on
2010,Toyota,RAV4,Overheating in traffic
2010,Toyota,RAV4,Oil leak near valve cover
2010,Toyota,RAV4,Steering wheel vibration at highway speed
2010,Toyota,RAV4,Won't start
2010,Toyota,RAV4,Rough idle when cold
2011,Toyota,RAV4,Wheel bearing humming noise
2011,Toyota,RAV4,ABS light on
2011,Toyota,RAV4,Oil leak near valve cover
2011,Toyota,RAV4,Transmission slipping between gears
2011,Toyota,RAV4,P0420 catalytic converter efficiency
2011,Toyota,RAV4,Rough idle when cold
2011,Toyota,RAV4,Steering wheel vibration at highway speed
2012,Toyota,RAV4,ABS light on
2012,Toyota,RAV4,Steering wheel vibration at highway speed
2012,Toyota,RAV4,Brake squeal when stopping
2012,Toyota,RAV4,Wheel bearing humming noise
2012,Toyota,RAV4,Rough idle when cold
2012,Toyota,RAV4,AC not blowing cold
2012,Toyota,RAV4,Oil leak near valve cover
2013,Toyota,RAV4,Oil leak near valve cover
2013,Toyota,RAV4,Overheating in traffic
2013,Toyota,RAV4,Brake squeal when stopping
2013,Toyota,RAV4,Power window won't go up
2013,Toyota,RAV4,Won't start
2013,Toyota,RAV4,P0442 EVAP small leak
2013,Toyota,RAV4,Wheel bearing humming noise
2014,Toyota,RAV4,P0420 catalytic converter efficiency
2014,Toyota,RAV4,Oil leak near valve cover
2014,Toyota,RAV4,Power window won't go up
2014,Toyota,RAV4,Alternator failure
2014,Toyota,RAV4,TPMS light on
2014,Toyota,RAV4,ABS light on
2014,Toyota,RAV4,Rough idle when cold
2015,Toyota,RAV4,Rough idle when cold
2015,Toyota,RAV4,Alternator failure
2015,Toyota,RAV4,Oil leak near valve cover
2015,Toyota,RAV4,Overheating in traffic
2015,Toyota,RAV4,AC not blowing cold
2015,Toyota,RAV4,Power window won't go up
2015,Toyota,RAV4,ABS light on
2016,Toyota,RAV4,Battery drains overnight
2016,Toyota,RAV4,Alternator failure
2016,Toyota,RAV4,Rough idle when cold
2016,Toyota,RAV4,Steering wheel vibration at highway speed
2016,Toyota,RAV4,TPMS light on
2016,Toyota,RAV4,Transmission slipping between gears
2016,Toyota,RAV4,ABS light on
2017,Toyota,RAV4,AC not blowing cold
2017,Toyota,RAV4,Oil leak near valve cover
2017,Toyota,RAV4,Wheel bearing humming noise
2017,Toyota,RAV4,Alternator failure
2017,Toyota,RAV4,Transmission slipping between gears
2017,Toyota,RAV4,P0442 EVAP small leak
2017,Toyota,RAV4,Won't start
2018,Toyota,RAV4,Rough idle when cold
2018,Toyota,RAV4,Brake squeal when stopping
2018,Toyota,RAV4,TPMS light on
2018,Toyota,RAV4,Won't start
2018,Toyota,RAV4,Oil leak near valve cover
2018,Toyota,RAV4,Alternator failure
2018,Toyota,RAV4,Wheel bearing humming noise
2019,Toyota,RAV4,Wheel bearing humming noise
2019,Toyota,RAV4,Won't start
2019,Toyota,RAV4,AC not blowing cold
2019,Toyota,RAV4,Rough idle when cold
2019,Toyota,RAV4,Steering wheel vibration at highway speed
2019,Toyota,RAV4,Power window won't go up
2019,Toyota,RAV4,TPMS light on
2010,Honda,Civic,Alternator failure
2010,Honda,Civic,Overheating in traffic
2010,Honda,Civic,Steering wheel vibration at highway speed
2010,Honda,Civic,Oil leak near valve cover
2010,Honda,Civic,AC not blowing cold
2010,Honda,Civic,TPMS light on
2010,Honda,Civic,ABS light on
2011,Honda,Civic,Steering wheel vibration at highway speed
2011,Honda,Civic,P0420 catalytic converter efficiency
2011,Honda,Civic,ABS light on
2011,Honda,Civic,Oil leak near valve cover
2011,Honda,Civic,AC not blowing cold
2011,Honda,Civic,P0442 EVAP small leak
2011,Honda,Civic,Overheating in traffic
2012,Honda,Civic,Overheating in traffic
2012,Honda,Civic,Battery drains overnight
2012,Honda,Civic,Wheel bearing humming noise
2012,Honda,Civic,Steering wheel vibration at highway speed
2012,Honda,Civic,Brake squeal when stopping
2012,Honda,Civic,Alternator failure
2012,Honda,Civic,TPMS light on
2013,Honda,Civic,Rough idle when cold
2013,Honda,Civic,Oil leak near valve cover
2013,Honda,Civic,Won't start
2013,Honda,Civic,Battery drains overnight
2013,Honda,Civic,Brake squeal when stopping
2013,Honda,Civic,P0442 EVAP small leak
2013,Honda,Civic,Alternator failure
2014,Honda,Civic,Transmission slipping between gears
2014,Honda,Civic,P0442 EVAP small leak
2014,Honda,Civic,TPMS light on
2014,Honda,Civic,Oil leak near valve cover
2014,Honda,Civic,Steering wheel vibration at highway speed
2014,Honda,Civic,Won't start
2014,Honda,Civic,Battery drains overnight
2015,Honda,Civic,Wheel bearing humming noise
2015,Honda,Civic,AC not blowing cold
2015,Honda,Civic,Won't start
2015,Honda,Civic,Rough idle when cold
2015,Honda,Civic,Alternator failure
2015,Honda,Civic,Brake squeal when stopping
2015,Honda,Civic,P0420 catalytic converter efficiency
2016,Honda,Civic,P0420 catalytic converter efficiency
2016,Honda,Civic,Transmission slipping between gears
2016,Honda,Civic,Wheel bearing humming noise
2016,Honda,Civic,Steering wheel vibration at highway speed
2016,Honda,Civic,Won't start
2016,Honda,Civic,Overheating in traffic
2016,Honda,Civic,Battery drains overnight
2017,Honda,Civic,P0420 catalytic converter efficiency
2017,Honda,Civic,Won't start
2017,Honda,Civic,Oil leak near valve cover
2017,Honda,Civic,Alternator failure
2017,Honda,Civic,AC not blowing cold
2017,Honda,Civic,Transmission slipping between gears
2017,Honda,Civic,Rough idle when cold
2018,Honda,Civic,Steering wheel vibration at highway speed
2018,Honda,Civic,Overheating in traffic
2018,Honda,Civic,P0442 EVAP small leak
2018,Honda,Civic,Battery drains overnight
2018,Honda,Civic,Transmission slipping between gears
2018,Honda,Civic,AC not blowing cold
2018,Honda,Civic,Rough idle when cold
2019,Honda,Civic,P0420 catalytic converter efficiency
2019,Honda,Civic,Brake squeal when stopping
2019,Honda,Civic,Oil leak near valve cover
2019,Honda,Civic,ABS light on
2019,Honda,Civic,TPMS light on
2019,Honda,Civic,Transmission slipping between gears
2019,Honda,Civic,Alternator failure
2010,Honda,Accord,Steering wheel vibration at highway speed
2010,Honda,Accord,P0442 EVAP small leak
2010,Honda,Accord,P0420 catalytic converter efficiency
2010,Honda,Accord,Oil leak near valve cover
2010,Honda,Accord,Battery drains overnight
2010,Honda,Accord,Rough idle when cold
2010,Honda,Accord,Brake squeal when stopping
2011,Honda,Accord,P0442 EVAP small leak
2011,Honda,Accord,Battery drains overnight
2011,Honda,Accord,Brake squeal when stopping
2011,Honda,Accord,Alternator failure
2011,Honda,Accord,P0420 catalytic converter efficiency
2011,Honda,Accord,Wheel bearing humming noise
2011,Honda,Accord,TPMS light on
2012,Honda,Accord,Power window won't go up
2012,Honda,Accord,Rough idle when cold
2012,Honda,Accord,Transmission slipping between gears
2012,Honda,Accord,Overheating in traffic
2012,Honda,Accord,TPMS light on
2012,Honda,Accord,Battery drains overnight
2012,Honda,Accord,AC not blowing cold
2013,Honda,Accord,Wheel bearing humming noise
2013,Honda,Accord,Rough idle when cold
2013,Honda,Accord,P0442 EVAP small leak
2013,Honda,Accord,TPMS light on
2013,Honda,Accord,Overheating in traffic
2013,Honda,Accord,Oil leak near valve cover
2013,Honda,Accord,Steering wheel vibration at highway speed
2014,Honda,Accord,ABS light on
2014,Honda,Accord,Wheel bearing humming noise
2014,Honda,Accord,Oil leak near valve cover
2014,Honda,Accord,Overheating in traffic
2014,Honda,Accord,Battery drains overnight
2014,Honda,Accord,Steering wheel vibration at highway speed
2014,Honda,Accord,P0420 catalytic converter efficiency
2015,Honda,Accord,Oil leak near valve cover
2015,Honda,Accord,Wheel bearing humming noise
2015,Honda,Accord,Won't start
2015,Honda,Accord,P0420 catalytic converter efficiency
2015,Honda,Accord,Overheating in traffic
2015,Honda,Accord,AC not blowing cold
2015,Honda,Accord,TPMS light on
2016,Honda,Accord,TPMS light on
2016,Honda,Accord,Brake squeal when stopping
2016,Honda,Accord,Power window won't go up
2016,Honda,Accord,Rough idle when cold
2016,Honda,Accord,P0442 EVAP small leak
2016,Honda,Accord,Oil leak near valve cover
2016,Honda,Accord,Won't start
2017,Honda,Accord,P0420 catalytic converter efficiency
2017,Honda,Accord,Brake squeal when stopping
2017,Honda,Accord,Battery drains overnight
2017,Honda,Accord,Won't start
2017,Honda,Accord,Overheating in traffic
2017,Honda,Accord,Power window won't go up
2017,Honda,Accord,Transmission slipping between gears
2018,Honda,Accord,Won't start
2018,Honda,Accord,P0420 catalytic converter efficiency
2018,Honda,Accord,Battery drains overnight
2018,Honda,Accord,P0442 EVAP small leak
2018,Honda,Accord,Transmission slipping between gears
2018,Honda,Accord,Alternator failure
2018,Honda,Accord,Overheating in traffic
2019,Honda,Accord,Won't start
2019,Honda,Accord,P0420 catalytic converter efficiency
2019,Honda,Accord,Power window won't go up
2019,Honda,Accord,Transmission slipping between gears
2019,Honda,Accord,Wheel bearing humming noise
2019,Honda,Accord,Battery drains overnight
2019,Honda,Accord,Overheating in traffic
2010,Honda,CR-V,Battery drains overnight
2010,Honda,CR-V,TPMS light on
2010,Honda,CR-V,Won't start
2010,Honda,CR-V,Oil leak near valve cover
2010,Honda,CR-V,Wheel bearing humming noise
2010,Honda,CR-V,Power window won't go up
2010,Honda,CR-V,P0420 catalytic converter efficiency
2011,Honda,CR-V,Power window won't go up
2011,Honda,CR-V,Steering wheel vibration at highway speed
2011,Honda,CR-V,P0442 EVAP small leak
2011,Honda,CR-V,AC not blowing cold
2011,Honda,CR-V,Alternator failure
2011,Honda,CR-V,ABS light on
2011,Honda,CR-V,Oil leak near valve cover
2012,Honda,CR-V,TPMS light on
2012,Honda,CR-V,Wheel bearing humming noise
2012,Honda,CR-V,Alternator failure
2012,Honda,CR-V,ABS light on
2012,Honda,CR-V,AC not blowing cold
2012,Honda,CR-V,Overheating in traffic
2012,Honda,CR-V,Brake squeal when stopping
2013,Honda,CR-V,Power window won't go up
2013,Honda,CR-V,Steering wheel vibration at highway speed
2013,Honda,CR-V,Brake squeal when stopping
2013,Honda,CR-V,Overheating in traffic
2013,Honda,CR-V,Transmission slipping between gears
2013,Honda,CR-V,Alternator failure
2013,Honda,CR-V,Won't start
2014,Honda,CR-V,AC not blowing cold
2014,Honda,CR-V,Power window won't go up
2014,Honda,CR-V,Oil leak near valve cover
2014,Honda,CR-V,Transmission slipping between gears
2014,Honda,CR-V,Battery drains overnight
2014,Honda,CR-V,Won't start
2014,Honda,CR-V,P0420 catalytic converter efficiency
2015,Honda,CR-V,Alternator failure
2015,Honda,CR-V,Power window won't go up
2015,Honda,CR-V,AC not blowing cold
2015,Honda,CR-V,Battery drains overnight
2015,Honda,CR-V,Brake squeal when stopping
2015,Honda,CR-V,Won't start
2015,Honda,CR-V,Wheel bearing humming noise
2016,Honda,CR-V,TPMS light on
2016,Honda,CR-V,AC not blowing cold
2016,Honda,CR-V,Won't start
2016,Honda,CR-V,Transmission slipping between gears
2016,Honda,CR-V,Battery drains overnight
2016,Honda,CR-V,Oil leak near valve cover
2016,Honda,CR-V,Alternator failure
2017,Honda,CR-V,Battery drains overnight
2017,Honda,CR-V,Alternator failure
2017,Honda,CR-V,Oil leak near valve cover
2017,Honda,CR-V,Overheating in traffic
2017,Honda,CR-V,ABS light on
2017,Honda,CR-V,Transmission slipping between gears
2017,Honda,CR-V,Steering wheel vibration at highway speed
2018,Honda,CR-V,Battery drains overnight
2018,Honda,CR-V,Wheel bearing humming noise
2018,Honda,CR-V,ABS light on
2018,Honda,CR-V,Overheating in traffic
2018,Honda,CR-V,P0420 catalytic converter efficiency
2018,Honda,CR-V,Power window won't go up
2018,Honda,CR-V,Brake squeal when stopping
2019,Honda,CR-V,P0442 EVAP small leak
2019,Honda,CR-V,Rough idle when cold
2019,Honda,CR-V,TPMS light on
2019,Honda,CR-V,Brake squeal when stopping
2019,Honda,CR-V,AC not blowing cold
2019,Honda,CR-V,Overheating in traffic
2019,Honda,CR-V,Steering wheel vibration at highway speed
2010,Nissan,Altima,Overheating in traffic
2010,Nissan,Altima,Rough idle when cold
2010,Nissan,Altima,AC not blowing cold
2010,Nissan,Altima,Oil leak near valve cover
2010,Nissan,Altima,Steering wheel vibration at highway speed
2010,Nissan,Altima,Wheel bearing humming noise
2010,Nissan,Altima,Brake squeal when stopping
2011,Nissan,Altima,Steering wheel vibration at highway speed
2011,Nissan,Altima,Battery drains overnight
2011,Nissan,Altima,Alternator failure
2011,Nissan,Altima,Won't start
2011,Nissan,Altima,Power window won't go up
2011,Nissan,Altima,P0442 EVAP small leak
2011,Nissan,Altima,AC not blowing cold
2012,Nissan,Altima,P0442 EVAP small leak
2012,Nissan,Altima,Steering wheel vibration at highway speed
2012,Nissan,Altima,P0420 catalytic converter efficiency
2012,Nissan,Altima,TPMS light on
2012,Nissan,Altima,Brake squeal when stopping
2012,Nissan,Altima,Wheel bearing humming noise
2012,Nissan,Altima,Battery drains overnight
2013,Nissan,Altima,Oil leak near valve cover
2013,Nissan,Altima,ABS light on
2013,Nissan,Altima,Brake squeal when stopping
2013,Nissan,Altima,AC not blowing cold
2013,Nissan,Altima,Wheel bearing humming noise
2013,Nissan,Altima,TPMS light on
2013,Nissan,Altima,Battery drains overnight
2014,Nissan,Altima,ABS light on
2014,Nissan,Altima,Rough idle when cold
2014,Nissan,Altima,Oil leak near valve cover
